idx,d0,d1,d2,maqaf,paseq,break
1.21.14,למינהם,לְמִינֵהֶם,לְמִֽינֵהֶ֗ם,,False,
1.21.15,ואת,וְאֵת,וְאֵ֨ת,,False,
1.21.16,כל,כָּל,כָּל,"(1, 2)",False,
1.21.17,עוף,עוֹף,ע֤וֹף,"(2, 2)",False,
1.21.18,כנף,כָּנָף,כָּנָף֙,,False,
1.21.19,למינהו,לְמִינֵהוּ,לְמִינֵ֔הוּ,,False,
1.21.20,וירא,וַיַּרְא,וַיַּ֥רְא,,False,
1.21.21,אלהים,אֱלֹהִים,אֱלֹהִ֖ים,,False,
1.21.22,כי,כִּי,כִּי,"(1, 2)",False,
1.21.23,טוב,טוֹב׃,טֽוֹב׃,"(2, 2)",False,
1.22.1,ויברך,וַיְבָרֶךְ,וַיְבָ֧רֶךְ,,False,
1.22.2,אתם,אֹתָם,אֹתָ֛ם,,False,
1.22.3,אלהים,אֱלֹהִים,אֱלֹהִ֖ים,,False,
1.22.4,לאמר,לֵאמֹר,לֵאמֹ֑ר,,False,
1.22.5,פרו,פְּרוּ,פְּר֣וּ,,False,
1.22.6,ורבו,וּרְבוּ,וּרְב֗וּ,,False,
1.22.7,ומלאו,וּמִלְאוּ,וּמִלְא֤וּ,,False,
1.22.8,את,אֶת,אֶת,"(1, 2)",False,
1.22.9,המים,הַמַּיִם,הַמַּ֙יִם֙,"(2, 2)",False,
1.22.10,בימים,בַּיַּמִּים,בַּיַּמִּ֔ים,,False,
1.22.11,והעוף,וְהָעוֹף,וְהָע֖וֹף,,False,
1.22.12,ירב,יִרֶב,יִ֥רֶב,,False,
1.22.13,בארץ,בָּאָרֶץ׃,בָּאָֽרֶץ׃,,False,
1.23.1,ויהי,וַיְהִי,וַֽיְהִי,"(1, 2)",False,
1.23.2,ערב,עֶרֶב,עֶ֥רֶב,"(2, 2)",False,
1.23.3,ויהי,וַיְהִי,וַֽיְהִי,"(1, 2)",False,
1.23.4,בקר,בֹקֶר,בֹ֖קֶר,"(2, 2)",False,
1.23.5,יום,יוֹם,י֥וֹם,,False,
1.23.6,חמישי,חֲמִישִׁי׃,חֲמִישִֽׁי׃,,False,(פ)
1.24.1,ויאמר,וַיֹּאמֶר,וַיֹּ֣אמֶר,,False,
1.24.2,אלהים,אֱלֹהִים,אֱלֹהִ֗ים,,False,
1.24.3,תוצא,תּוֹצֵא,תּוֹצֵ֨א,,False,
1.24.4,הארץ,הָאָרֶץ,הָאָ֜רֶץ,,False,
1.24.5,נפש,נֶפֶשׁ,נֶ֤פֶשׁ,,False,
1.24.6,חיה,חַיָּה,חַיָּה֙,,False,
1.24.7,למינה,לְמִינָהּ,לְמִינָ֔הּ,,False,
1.24.8,בהמה,בְּהֵמָה,בְּהֵמָ֥ה,,False,
1.24.9,ורמש,וָרֶמֶשׂ,וָרֶ֛מֶשׂ,,False,
1.24.10,וחיתו,וְחַיְתוֹ,וְחַֽיְתוֹ,"(1, 2)",False,
1.24.11,ארץ,אֶרֶץ,אֶ֖רֶץ,"(2, 2)",False,
1.24.12,למינה,לְמִינָהּ,לְמִינָ֑הּ,,False,
1.24.13,ויהי,וַיְהִי,וַֽיְהִי,"(1, 2)",False,
1.24.14,כן,כֵן׃,כֵֽן׃,"(2, 2)",False,
1.25.1,ויעש,וַיַּעַשׂ,וַיַּ֣עַשׂ,,False,
1.25.2,אלהים,אֱלֹהִים,אֱלֹהִים֩,,False,
1.25.3,את,אֶת,אֶת,"(1, 2)",False,
1.25.4,חית,חַיַּת,חַיַּ֨ת,"(2, 2)",False,
1.25.5,הארץ,הָאָרֶץ,הָאָ֜רֶץ,,False,
1.25.6,למינה,לְמִינָהּ,לְמִינָ֗הּ,,False,
1.25.7,ואת,וְאֶת,וְאֶת,"(1, 2)",False,
1.25.8,הבהמה,הַבְּהֵמָה,הַבְּהֵמָה֙,"(2, 2)",False,
1.25.9,למינה,לְמִינָהּ,לְמִינָ֔הּ,,False,
1.25.10,ואת,וְאֵת,וְאֵ֛ת,,False,
1.25.11,כל,כָּל,כָּל,"(1, 2)",False,
1.25.12,רמש,רֶמֶשׂ,רֶ֥מֶשׂ,"(2, 2)",False,
1.25.13,האדמה,הָאֲדָמָה,הָֽאֲדָמָ֖ה,,False,
1.25.14,למינהו,לְמִינֵהוּ,לְמִינֵ֑הוּ,,False,
1.25.15,וירא,וַיַּרְא,וַיַּ֥רְא,,False,
1.25.16,אלהים,אֱלֹהִים,אֱלֹהִ֖ים,,False,
1.25.17,כי,כִּי,כִּי,"(1, 2)",False,
1.25.18,טוב,טוֹב׃,טֽוֹב׃,"(2, 2)",False,
1.26.1,ויאמר,וַיֹּאמֶר,וַיֹּ֣אמֶר,,False,
1.26.2,אלהים,אֱלֹהִים,אֱלֹהִ֔ים,,False,
1.26.3,נעשה,נַעֲשֶׂה,נַֽעֲשֶׂ֥ה,,False,
1.26.4,אדם,אָדָם,אָדָ֛ם,,False,
1.26.5,בצלמנו,בְּצַלְמֵנוּ,בְּצַלְמֵ֖נוּ,,False,
1.26.6,כדמותנו,כִּדְמוּתֵנוּ,כִּדְמוּתֵ֑נוּ,,False,
1.26.7,וירדו,וְיִרְדּוּ,וְיִרְדּוּ֩,,False,
1.26.8,בדגת,בִדְגַת,בִדְגַ֨ת,,False,
1.26.9,הים,הַיָּם,הַיָּ֜ם,,False,
1.26.10,ובעוף,וּבְעוֹף,וּבְע֣וֹף,,False,
1.26.11,השמים,הַשָּׁמַיִם,הַשָּׁמַ֗יִם,,False,
1.26.12,ובבהמה,וּבַבְּהֵמָה,וּבַבְּהֵמָה֙,,False,
1.26.13,ובכל,וּבְכָל,וּבְכָל,"(1, 2)",False,
1.26.14,הארץ,הָאָרֶץ,הָאָ֔רֶץ,"(2, 2)",False,
1.26.15,ובכל,וּבְכָל,וּבְכָל,"(1, 2)",False,
1.26.16,הרמש,הָרֶמֶשׂ,הָרֶ֖מֶשׂ,"(2, 2)",False,
1.26.17,הרמש,הָרֹמֵשׂ,הָֽרֹמֵ֥שׂ,,False,
1.26.18,על,עַל,עַל,"(1, 2)",False,
1.26.19,הארץ,הָאָרֶץ׃,הָאָֽרֶץ׃,"(2, 2)",False,
1.27.1,ויברא,וַיִּבְרָא,וַיִּבְרָ֨א,,False,
1.27.2,אלהים,אֱלֹהִים,אֱלֹהִ֤ים,,True,
1.27.3,את,אֶת,אֶת,"(1, 2)",False,
1.27.4,האדם,הָאָדָם,הָֽאָדָם֙,"(2, 2)",False,
1.27.5,בצלמו,בְּצַלְמוֹ,בְּצַלְמ֔וֹ,,False,
1.27.6,בצלם,בְּצֶלֶם,בְּצֶ֥לֶם,,False,
1.27.7,אלהים,אֱלֹהִים,אֱלֹהִ֖ים,,False,
1.27.8,ברא,בָּרָא,בָּרָ֣א,,False,
1.27.9,אתו,אֹתוֹ,אֹת֑וֹ,,False,
1.27.10,זכר,זָכָר,זָכָ֥ר,,False,
1.27.11,ונקבה,וּנְקֵבָה,וּנְקֵבָ֖ה,,False,
1.27.12,ברא,בָּרָא,בָּרָ֥א,,False,
1.27.13,אתם,אֹתָם׃,אֹתָֽם׃,,False,
1.28.1,ויברך,וַיְבָרֶךְ,וַיְבָ֣רֶךְ,,False,
